,City,Max Temperature,Humidity,Cloudiness,Windspeed,Lat,Lng
0,Kahului,80.96,82,90,18.34,20.89,-156.47
1,Mataura,57.18,67,36,22.97,-46.19,168.86
2,Tiksi,57.36,82,0,4.07,71.64,128.87
3,Komsomolskiy,50.43,76,48,7.65,67.55,63.78
4,Swift Current,53.6,81,75,16.11,50.29,-107.8
5,Key West,69.8,83,75,16.11,47.93,-96.78
6,Nome,84.92,78,40,7.54,30.04,-94.42
7,Avarua,73.4,73,75,9.17,-21.21,-159.78
8,Hay River,51.8,71,75,3.36,60.82,-115.79
9,Piacabucu,74.28,76,92,8.66,-10.41,-36.43
10,Talnakh,54.21,88,76,3.62,69.49,88.39
11,Castro,47.19,96,92,3.51,-42.48,-73.76
12,Saint-Philippe,72.5,94,20,10.29,45.36,-73.48
13,Ushuaia,37.4,86,75,23.04,-54.81,-68.31
14,Chapais,62.6,93,90,5.82,49.78,-74.86
15,Prado,75.99,98,32,10.78,-17.34,-39.22
16,Atuona,80.04,98,68,21.63,-9.8,-139.03
17,Kodiak,82.94,72,1,14.99,39.95,-94.76
18,Sulangan,82.11,100,8,5.08,11.14,123.72
19,Cabo San Lucas,84.2,74,5,6.93,22.89,-109.91
20,Srednekolymsk,45.93,65,8,3.18,67.46,153.71
21,Shelburne,73.4,93,1,4.07,44.08,-80.2
22,Bluff,73.29,30,0,12.01,-23.58,149.07
23,Bafq,64.29,39,0,2.06,31.6,55.4
24,Rikitea,73.83,100,92,6.31,-23.12,-134.97
25,Cape Town,44.6,87,40,11.41,-33.93,18.42
26,Hobart,42.8,75,75,17.22,-42.88,147.33
27,Hermanus,46.29,89,88,9.78,-34.42,19.24
28,Rawson,58.26,32,48,12.01,-43.3,-65.11
29,Torbay,62.6,93,90,13.87,47.66,-52.73
30,Saint-Augustin,59.0,93,20,2.24,44.83,-0.61
31,Muros,62.6,100,90,4.7,42.77,-9.06
32,Port Elizabeth,78.98,84,75,11.23,39.31,-74.98
33,Beaverlodge,48.2,93,90,8.05,55.21,-119.43
34,Jaora,73.83,99,92,7.76,23.64,75.13
35,New Norfolk,42.8,75,75,17.22,-42.78,147.06
36,Severo-Kurilsk,51.78,100,100,5.3,50.68,156.12
37,Marsh Harbour,83.64,99,80,17.27,26.54,-77.06
38,Oxbow,53.6,87,90,5.82,49.23,-102.17
39,Ponta do Sol,60.06,92,36,5.3,-20.63,-46.0
40,Halifax,66.2,82,75,4.7,44.65,-63.58
41,Mahebourg,69.8,73,40,12.75,-20.41,57.7
42,Mamallapuram,86.0,66,40,10.29,12.63,80.17
43,Faya,69.8,68,0,5.82,18.39,42.45
44,Taoudenni,77.25,22,0,5.97,22.68,-3.98
45,Albany,73.94,90,75,2.51,42.65,-73.75
46,Mogadishu,75.9,100,92,17.05,2.04,45.34
47,Panaba,77.34,88,36,5.53,21.28,-88.27
48,Lompoc,60.98,80,1,6.93,34.64,-120.46
49,Nara,93.2,55,20,6.93,34.68,135.8
50,San Isidro,83.1,88,92,8.66,16.74,121.63
51,Longyearbyen,39.2,64,75,6.93,78.22,15.63
52,Faanui,77.61,100,68,11.23,-16.48,-151.75
53,Ancud,49.89,98,100,3.96,-41.87,-73.83
54,Port Hedland,80.6,28,0,11.41,-20.31,118.58
55,Qaanaaq,33.69,100,88,2.95,77.48,-69.36
56,Port Alfred,55.38,84,0,22.86,-33.59,26.89
57,Tuatapere,54.66,80,32,21.52,-46.13,167.69
58,Itarema,77.7,83,0,15.82,-2.92,-39.92
59,Kununurra,91.4,26,0,11.41,-15.77,128.74
60,Iqaluit,39.2,86,5,3.36,63.75,-68.52
61,Yellowknife,53.6,58,75,4.7,62.45,-114.38
62,La Cruz,84.18,75,88,2.62,23.92,-106.89
63,Punta Arenas,37.4,86,40,18.34,-53.16,-70.91
64,Makakilo City,82.94,64,40,10.29,21.35,-158.09
65,Yenagoa,67.98,93,48,2.73,4.92,6.26
66,Itacare,69.8,100,40,4.7,-14.28,-39.0
67,Pisco,60.8,87,90,2.24,-13.71,-76.2
68,Barrow,59.43,36,0,16.37,-38.31,-60.23
69,Georgetown,75.2,94,20,4.7,6.8,-58.16
70,Marawi,77.88,80,68,2.17,8.0,124.29
71,Oktyabrskiy,55.4,81,0,4.47,55.61,37.97
72,Zalantun,72.39,85,92,3.4,48.0,122.72
73,Aklavik,42.8,87,90,2.24,68.22,-135.01
74,San Quintin,84.2,79,90,9.17,17.54,120.52
75,Rapid Valley,67.1,59,1,18.34,44.06,-103.15
76,Karratha,87.06,11,0,4.74,-20.74,116.85
77,Maxixe,68.34,100,0,13.02,-23.86,35.35
78,Nouadhibou,68.0,88,75,21.92,20.93,-17.03
79,Saldanha,55.56,81,0,1.16,41.42,-6.55
80,Oriximina,79.41,77,32,2.62,-1.77,-55.87
81,Porto Novo,55.4,93,75,3.36,-23.68,-45.44
82,Busselton,61.23,97,12,20.29,-33.64,115.35
83,Santa Elena,68.0,88,90,9.17,-2.23,-80.86
84,Beringovskiy,48.0,100,92,13.24,63.05,179.32
85,Wuchi,72.48,95,48,6.42,13.33,5.43
86,Zhigansk,58.44,72,92,4.41,66.77,123.37
87,Kapaa,84.02,90,90,16.11,22.08,-159.32
88,Menongue,68.61,27,12,5.08,-14.66,17.68
89,Churapcha,65.55,80,20,3.06,62.0,132.43
90,Necochea,55.56,53,20,14.36,-38.55,-58.74
91,Klaksvik,46.4,75,68,11.41,62.23,-6.59
92,Novyy Urengoy,57.81,82,12,12.68,66.08,76.63
93,Kuala Kangsar,87.8,58,75,2.24,4.77,100.94
94,Ilulissat,35.6,93,0,3.36,69.22,-51.1
95,Bandarbeyla,74.64,87,0,30.58,9.49,50.81
96,Libertador General San Martin,50.0,53,0,4.7,-23.81,-64.79
97,Mutis,75.81,100,76,2.51,6.23,-77.4
98,Shimanovsk,78.06,60,12,3.4,52.0,127.67
99,Muroto,84.2,70,20,8.05,33.37,134.14
100,Puerto Ayora,71.76,100,44,10.22,-0.74,-90.35
101,Augusto Correa,75.72,91,12,5.53,-1.02,-46.63
102,Cedar Falls,78.98,84,90,10.29,42.53,-92.45
103,Naryan-Mar,55.74,83,0,13.02,67.67,53.09
104,Balkanabat,68.07,31,8,3.4,39.51,54.36
105,Bredy,55.83,86,64,11.23,52.43,60.33
106,Madimba,77.0,94,75,1.12,4.42,9.93
107,Mwense,56.28,52,0,5.53,-10.39,28.7
108,Saskylakh,57.99,96,0,5.3,71.97,114.09
109,Port Hardy,59.0,82,75,14.99,50.7,-127.42
110,Mount Gambier,51.96,81,68,3.51,-37.83,140.78
111,Kolyvan,57.2,87,40,6.71,55.31,82.74
112,Hilo,80.06,84,90,5.82,19.71,-155.08
113,Henties Bay,49.44,100,0,4.18,-22.12,14.28
114,Port Lincoln,56.1,96,68,15.48,-34.72,135.86
115,Arica,60.8,72,90,2.24,-18.48,-70.32
116,Cherskiy,40.08,76,0,6.64,68.75,161.3
117,Tafalla,62.6,87,0,2.24,42.53,-1.67
118,Asyut,75.2,60,0,12.75,27.18,31.19
119,Awjilah,75.99,54,0,8.43,29.14,21.3
120,Clyde River,37.4,93,75,3.36,70.47,-68.59
121,Bansang,77.0,94,40,9.55,13.44,-14.66
122,Katsuura,87.8,66,40,4.7,33.93,134.5
123,Aloleng,80.58,99,64,15.26,16.13,119.78
124,Moose Factory,64.4,88,75,4.7,51.26,-80.61
125,Celle,60.8,82,75,10.29,52.62,10.08
126,Batagay-Alyta,57.27,72,0,4.18,67.8,130.41
127,Vaini,70.23,98,92,8.66,15.34,74.49
128,Tolaga Bay,60.51,60,0,8.21,-38.37,178.3
129,Sistranda,46.4,93,75,9.17,63.73,8.83
130,Kutum,61.14,64,0,2.51,14.2,24.66
131,Batemans Bay,52.05,80,48,8.43,-35.71,150.18
132,Geraldton,64.4,88,75,6.93,49.72,-86.95
133,Butaritari,82.92,100,64,4.97,3.07,172.79
134,Salalah,73.4,100,90,4.18,17.01,54.1
135,Hrebinka,56.1,52,0,5.53,50.12,32.43
136,Khatanga,60.78,74,0,10.67,71.98,102.47
137,Kudahuvadhoo,83.19,100,36,6.64,2.67,72.89
138,Bilibino,41.16,62,44,3.18,68.06,166.44
139,Pacifica,68.0,87,90,6.93,37.61,-122.49
140,Leningradskiy,35.58,100,12,16.15,69.38,178.42
141,Naze,75.2,94,20,5.97,5.43,7.07
142,Jamestown,57.09,61,0,7.99,-33.21,138.6
143,Bulancak,58.62,100,32,0.04,40.94,38.23
144,Saint-Paul,51.8,93,0,2.62,45.22,1.9
145,Half Moon Bay,68.0,87,90,6.93,37.46,-122.43
146,Paamiut,42.6,94,0,14.7,61.99,-49.67
147,Tariba,82.4,58,40,11.41,7.82,-72.22
148,Sao Filipe,77.61,100,56,11.01,14.9,-24.5
149,Saint George,69.8,83,40,4.52,39.45,22.34
150,Port Keats,86.97,53,0,8.1,-14.25,129.55
151,Roald,50.0,81,76,6.93,62.58,6.12
152,Pasighat,78.78,81,24,0.27,28.06,95.33
153,Olinda,71.6,78,20,13.87,-2.03,-79.75
154,Beloha,58.98,85,0,8.32,-25.17,45.06
155,Baherden,62.04,52,0,2.73,38.44,57.43
156,Bambous Virieux,69.8,73,40,12.75,-20.34,57.76
157,Tongliao,81.12,56,0,4.63,43.61,122.27
158,Tanabe,84.2,70,20,5.82,33.73,135.39
159,Norman Wells,59.0,62,20,4.7,65.28,-126.83
160,Dunedin,55.47,60,44,13.47,-45.87,170.5
161,Chokurdakh,50.7,87,0,4.52,70.62,147.9
162,Mouila,72.57,82,80,2.51,-1.86,11.06
163,Lebu,53.6,93,90,11.41,8.96,38.73
164,Moguer,67.08,83,80,2.95,37.27,-6.84
165,Metaxades,66.2,77,0,2.73,41.42,26.23
166,Mumford,72.21,96,88,3.06,5.26,-0.76
167,Koutiala,70.95,96,32,7.65,12.39,-5.46
168,Soyaux,59.0,87,0,2.24,45.64,0.19
169,Masty,53.49,98,92,8.1,53.42,24.54
170,Buraydah,82.4,34,0,9.17,26.33,43.97
171,Arraial do Cabo,66.54,100,92,13.35,-22.97,-42.02
172,Kokkola,48.2,100,75,3.36,63.84,23.13
173,Mamaku,53.94,82,36,3.74,-38.1,176.07
174,Ramsar,77.0,83,75,3.74,36.92,50.64
175,Acapulco,82.4,78,20,5.82,16.86,-99.88
176,Tasiilaq,41.0,75,88,14.99,65.61,-37.64
177,Kapit,77.88,91,80,2.28,2.02,112.94
178,Ribeira Grande,72.03,100,0,4.74,38.52,-28.7
179,Brae,51.8,100,92,4.7,60.4,-1.35
180,Khandbari,49.44,62,0,1.39,27.38,87.21
181,Sawtell,66.2,55,40,21.92,-30.38,153.1
182,Codrington,65.28,71,0,5.19,-28.95,153.24
183,Yuci,80.6,54,80,6.71,37.68,112.73
184,Balsta,44.6,100,0,3.36,59.57,17.53
185,Bredasdorp,46.4,81,92,12.75,-34.53,20.04
186,Guerrero Negro,71.31,82,0,10.67,27.97,-114.04
187,Leshukonskoye,60.42,79,0,6.08,64.9,45.76
188,Izoplit,54.48,81,0,3.4,56.63,36.21
189,Nieuwkoop,62.6,100,75,16.11,52.15,4.78
190,Vagur,51.06,100,100,20.96,61.47,-6.81
191,Sawakin,81.66,80,24,2.28,19.1,37.33
192,Tigil,56.46,59,0,14.58,57.8,158.67
193,Pitea,50.0,93,20,5.19,65.32,21.48
194,Engels,57.2,82,0,4.47,51.5,46.12
195,Nehe,72.48,98,80,4.97,48.48,124.88
196,Yaan,73.11,95,88,3.18,7.38,8.57
197,Ahmadpur,71.76,99,92,11.79,18.7,76.94
198,Svetlogorsk,51.8,87,40,6.71,53.14,59.15
199,Harlingen,87.98,79,1,11.41,26.19,-97.7
200,Zaranj,78.8,16,0,38.03,30.95,61.86
201,Margate,42.8,75,75,17.22,-43.03,147.26
202,Sonneberg,48.9,72,44,6.42,50.36,11.17
203,Thompson,44.6,87,75,2.24,55.74,-97.86
204,Antalaha,70.77,97,92,11.68,-14.9,50.28
205,Guiyang,69.8,88,90,11.18,26.58,106.71
206,Farah,68.97,26,0,3.18,32.37,62.11
207,Rincon,77.0,97,1,3.85,32.3,-81.24
208,Bethel,53.06,89,90,18.34,60.79,-161.76
209,Erdenet,67.8,63,0,3.74,49.03,104.04
210,Angoche,74.46,100,0,3.96,-16.23,39.91
211,Pevek,37.83,100,12,13.47,69.7,170.27
212,Riyadh,82.4,21,0,9.17,24.63,46.72
213,Santa Vitoria do Palmar,45.48,88,0,11.23,-33.52,-53.37
214,Mount Pleasant,87.8,55,1,5.82,33.16,-94.97
215,Hovd,46.4,93,0,8.05,63.83,10.7
216,Ust-Nera,53.13,55,0,2.51,64.57,143.24
217,San Patricio,39.81,77,0,2.73,-26.98,-56.83
218,Goma,57.36,100,92,0.94,-1.67,29.23
219,Loucovice,44.6,100,0,1.12,48.62,14.26
220,Taltal,49.98,92,0,1.05,-25.41,-70.49
221,Airai,81.48,57,0,0.94,-8.93,125.41
222,Coquimbo,53.6,87,90,2.28,-29.95,-71.34
223,Mozarlandia,78.51,45,44,9.33,-14.74,-50.57
224,Nikolskoye,55.4,93,75,4.47,59.7,30.79
225,Nagato,87.8,79,40,8.05,34.35,131.14
226,Nkhata Bay,58.53,100,0,3.62,-11.61,34.3
227,Ganzhou,79.95,90,68,3.62,25.86,114.93
228,Abadiania,66.2,77,0,10.29,-16.2,-48.71
229,Skagen,50.0,87,20,4.7,58.6,13.44
230,Wajima,75.2,100,75,3.36,37.4,136.9
231,Nantucket,71.96,100,1,6.93,41.28,-70.1
232,Fare,77.07,100,92,9.33,-16.7,-151.02
233,Morros,78.8,88,0,9.17,-2.87,-44.04
234,Ust-Ilimsk,71.58,71,0,5.3,57.96,102.73
235,Betanzos,64.4,100,0,2.24,43.28,-8.21
236,Port Pirie,60.8,59,0,5.82,-33.18,138.01
237,Fortuna,75.2,83,75,2.24,38.18,-1.13
238,Arlit,75.63,76,0,3.74,18.74,7.39
239,Bantou,83.73,77,12,2.73,26.22,117.49
240,Kaitangata,59.16,74,24,8.88,-46.28,169.85
241,Sussex,55.4,100,90,5.82,45.72,-65.51
242,Havelock,77.0,96,1,6.64,34.88,-76.9
243,Katobu,83.55,84,56,4.63,-4.94,122.53
244,Carnarvon,19.29,79,32,6.2,-30.97,22.13
245,Umtata,44.6,36,0,16.11,-31.59,28.78
246,Kpandu,71.94,91,24,6.64,7.0,0.29
247,Yulara,75.2,13,0,6.93,-25.24,130.99
248,Zyryanka,49.71,65,0,2.95,65.73,150.89
249,Shenzhen,82.4,83,40,5.82,22.54,114.05
250,Provideniya,51.8,76,90,11.18,64.42,-173.23
251,Kroonstad,33.78,50,0,10.67,-27.65,27.24
252,Maha Sarakham,82.4,74,75,10.29,16.19,103.3
253,Nouakchott,79.05,100,0,13.8,18.08,-15.98
254,Orlik,57.81,77,0,2.39,52.51,99.83
255,Ambanja,62.76,82,44,3.4,-13.68,48.45
256,Lasa,75.2,83,40,3.36,34.92,32.53
257,Mao,78.8,94,40,6.93,19.55,-71.08
258,Manasa,75.81,96,80,6.53,24.48,75.27
259,Muzhi,51.96,68,0,3.51,65.4,64.7
260,Coihaique,48.2,66,0,4.7,-45.58,-72.07
261,Victoria,91.4,74,75,5.82,5.28,115.24
262,Mar del Plata,53.13,46,20,17.27,-46.43,-67.52
263,Tuktoyaktuk,39.2,86,90,9.17,69.44,-133.03
264,Emerald,72.12,48,0,9.78,-23.53,148.16
265,Kavaratti,78.96,100,64,15.03,10.57,72.64
266,Puerto del Rosario,71.6,78,8,10.29,28.5,-13.86
267,Dunda,59.88,100,92,1.28,30.62,78.32
268,Solnechnyy,70.23,63,0,4.18,50.72,136.64
269,Husavik,59.79,76,92,7.2,50.56,-96.99
270,Namatanai,83.28,100,0,7.65,-3.66,152.44
271,Vao,51.96,97,0,6.2,59.1,26.19
272,Pleasanton,68.0,67,1,11.41,37.66,-121.87
273,Udachnyy,61.41,75,0,3.18,66.42,112.4
274,Vryheid,50.25,36,0,6.76,-27.77,30.79
275,Hamilton,80.6,78,20,2.24,32.3,-64.78
276,Guiratinga,65.19,70,32,5.41,-16.35,-53.76
277,Ananas,68.34,98,64,2.51,19.25,-71.96
278,Tautira,82.4,69,20,12.75,-17.73,-149.15
279,Honiara,87.8,70,40,11.41,-9.43,159.96
280,Malgobek,57.45,91,0,4.18,43.51,44.59
281,College,55.94,93,75,5.82,64.86,-147.8
282,Bridgton,71.96,78,75,4.7,44.05,-70.71
283,Nenjiang,75.09,92,68,5.19,49.17,125.23
284,Berdigestyakh,62.94,76,48,3.62,62.1,126.7
285,Pasni,78.33,100,32,9.44,25.26,63.48
